Temperature,Humidity,Wind,Weather
25,70,Mạnh,Trời nắng
20,80,Nhẹ,Trời mưa
22,75,Trung bình,Trời mây
30,60,Mạnh,Trời nắng
18,85,Nhẹ,Trời mưa
23,78,Mạnh,Trời mây
28,62,Trung bình,Trời nắng
15,88,Nhẹ,Trời mưa
21,72,Trung bình,Trời mây
26,68,Mạnh,Trời nắng
19,82,Nhẹ,Trời mưa
24,74,Trung bình,Trời mây
31,59,Mạnh,Trời nắng
17,87,Nhẹ,Trời mưa
27,64,Trung bình,Trời mây
16,89,Nhẹ,Trời mưa
29,61,Mạnh,Trời nắng
14,90,Nhẹ,Trời mây
33,55,Mạnh,Trời nắng
24,77,Trung bình,Trời mưa
20,83,Nhẹ,Trời mây
26,71,Mạnh,Trời nắng
18,86,Nhẹ,Trời mưa
22,76,Trung bình,Trời mây
32,58,Mạnh,Trời nắng
19,84,Nhẹ,Trời mưa
25,69,Trung bình,Trời mây
21,81,Mạnh,Trời nắng
16,88,Nhẹ,Trời mưa
28,63,Trung bình,Trời mây
23,79,Mạnh,Trời nắng
15,90,Nhẹ,Trời mưa
30,57,Mạnh,Trời mây
27,65,Trung bình,Trời nắng
13,91,Nhẹ,Trời mưa
31,56,Mạnh,Trời mây
14,89,Nhẹ,Trời nắng
33,54,Mạnh,Trời mưa
17,85,Trung bình,Trời mây
29,60,Mạnh,Trời nắng
12,92,Nhẹ,Trời mưa
34,53,Mạnh,Trời mây
18,84,Trung bình,Trời nắng
35,52,Mạnh,Trời mưa
19,80,Trung bình,Trời mây
36,51,Mạnh,Trời nắng
20,78,Nhẹ,Trời mưa
37,50,Mạnh,Trời mây
21,76,Trung bình,Trời nắng
38,49,Mạnh,Trời mưa
22,74,Trung bình,Trời mây
39,48,Mạnh,Trời nắng
23,72,Trung bình,Trời mưa
40,47,Mạnh,Trời mây
25,70,Mạnh,Trời nắng
20,80,Nhẹ,Trời mưa
22,75,Trung bình,Trời mây
30,60,Mạnh,Trời nắng
18,85,Nhẹ,Trời mưa
23,78,Mạnh,Trời mây
28,62,Trung bình,Trời nắng
15,88,Nhẹ,Trời mưa
21,72,Trung bình,Trời mây
26,68,Mạnh,Trời nắng
19,82,Nhẹ,Trời mưa
24,74,Trung bình,Trời mây
31,59,Mạnh,Trời nắng
17,87,Nhẹ,Trời mưa
27,64,Trung bình,Trời mây
16,89,Nhẹ,Trời mưa
29,61,Mạnh,Trời nắng
14,90,Nhẹ,Trời mây
33,55,Mạnh,Trời nắng
24,77,Trung bình,Trời mưa
20,83,Nhẹ,Trời mây
26,71,Mạnh,Trời nắng
18,86,Nhẹ,Trời mưa
22,76,Trung bình,Trời mây
32,58,Mạnh,Trời nắng
19,84,Nhẹ,Trời mưa
25,69,Trung bình,Trời mây
21,81,Mạnh,Trời nắng
16,88,Nhẹ,Trời mưa
28,63,Trung bình,Trời mây
23,79,Mạnh,Trời nắng
15,90,Nhẹ,Trời mưa
30,57,Mạnh,Trời mây
27,65,Trung bình,Trời nắng
13,91,Nhẹ,Trời mưa
31,56,Mạnh,Trời mây
14,89,Nhẹ,Trời nắng
33,54,Mạnh,Trời mưa
17,85,Trung bình,Trời mây
29,60,Mạnh,Trời nắng
12,92,Nhẹ,Trời mưa
34,53,Mạnh,Trời mây
18,84,Trung bình,Trời nắng
35,52,Mạnh,Trời mưa
19,80,Trung bình,Trời mây
36,51,Mạnh,Trời nắng
20,78,Nhẹ,Trời mưa
37,50,Mạnh,Trời mây
21,76,Trung bình,Trời nắng
38,49,Mạnh,Trời mưa
22,74,Trung bình,Trời mây
39,48,Mạnh,Trời nắng
23,72,Trung bình,Trời mưa
40,47,Mạnh,Trời mây
